,Mu_WT,WT_param_value,Relative_param_change,Absolute_param_change,Upper_Mu,Lower_Mu,Mu_change,Absolute_Sensitivity,Scaled_Sensitivity
EhemB_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Eacc_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049374091778304,0.32049342608758025,3.148302027966565e-07,7.879377275484543e-10,4.9116460283944276e-05
ElysS_enzyme_forward_efficiency,0.32049357891082764,11643.0028,0.01,116.43002800000001,0.32049673804645806,0.32049029321100875,6.444835449315178e-06,2.7676861201627374e-08,0.0010054546913572258
EytsJ_enzyme_backward_efficiency,0.32049357891082764,13892.3761,0.01,138.92376099999998,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Etdk2_enzyme_backward_efficiency,0.32049357891082764,511.6565,0.01,5.1165650000000005,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Edxr_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EnasF_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Epfk_enzyme_forward_efficiency,0.32049357891082764,1123157.0132,0.01,11231.570131999999,0.32049422693864926,0.3204928912062144,1.3357324348817201e-06,5.94632993955168e-11,0.00020838677009085523
EthiG_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Eatp_enzyme_backward_efficiency,0.32049357891082764,2828501.8164,0.01,28285.018164,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EserB_enzyme_backward_efficiency,0.32049357891082764,54892.77,0.01,548.9277,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EkatA_enzyme_forward_efficiency,0.32049357891082764,15700.247,0.01,157.00247,0.32052168711759066,0.3204648481403183,5.683897727237763e-05,1.810130034017224e-07,0.008867412798961596
EgntK_enzyme_backward_efficiency,0.32049357891082764,8464.7729,0.01,84.647729,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EcitZ_enzyme_backward_efficiency,0.32049357891082764,37429.1087,0.01,374.291087,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpanB_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EptsI_enzyme_backward_efficiency,0.32049357891082764,151041.2918,0.01,1510.412918,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EiolA_enzyme_backward_efficiency,0.32049357891082764,8464.7729,0.01,84.647729,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EsirC_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
ErbsK_enzyme_forward_efficiency,0.32049357891082764,8464.7729,0.01,84.647729,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpabC_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EugtP1_enzyme_forward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049350249920394,7.641162369509402e-08,1.933488314486192e-10,1.1920928955078125e-05
EtagE_enzyme_forward_efficiency,0.32049357891082764,12352.4828,0.01,123.524828,0.32049365991430534,0.32049342608758025,2.3382672509342228e-07,9.464766269232218e-10,3.647915909705026e-05
Tile_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
EgapA_enzyme_forward_efficiency,0.32049357891082764,103393.2792,0.01,1033.932792,0.3205079165263811,0.3204789842907019,2.893223567923542e-05,1.3991352195760234e-08,0.0045136997405001615
EtagGH_enzyme_backward_efficiency,0.32049357891082764,13459.9674,0.01,134.599674,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
