,Mu_WT,WT_param_value,Relative_param_change,Absolute_param_change,Upper_Mu,Lower_Mu,Mu_change,Absolute_Sensitivity,Scaled_Sensitivity
EthrS_enzyme_backward_efficiency,0.32049357891082764,27850.2369,0.001,27.8502369,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Es14_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmtnN2_enzyme_forward_efficiency,0.32049357891082764,511.6565,0.001,0.5116565,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,1.5382888852025556e-07,0.00024558230141972137
EpyrF_enzyme_forward_efficiency,0.32049357891082764,13640.3576,0.001,13.6403576,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,5.770197014421684e-09,0.00024558230141972137
EmtnX_enzyme_forward_efficiency,0.32049357891082764,511.6565,0.001,0.5116565,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,1.5382888852025556e-07,0.00024558230141972137
Egnd_enzyme_forward_efficiency,0.32049357891082764,49342.6624,0.001,49.3426624,0.32049382192126075,0.32049327326433286,5.486569278900788e-07,5.559660760118193e-09,0.0008559561938099454
TchaA_enzyme_backward_efficiency,0.32049357891082764,1109.399,0.001,1.1093989999999998,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EtagD_enzyme_backward_efficiency,0.32049357891082764,71926.3951,0.001,71.9263951,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EdapA_enzyme_forward_efficiency,0.32049357891082764,53964.3896,0.001,53.964389600000004,0.32049357891082764,0.32049350249920394,7.641162369509402e-08,7.079819141982292e-10,0.00011920928955078125
EspeB_enzyme_backward_efficiency,0.32049357891082764,5049.1981,0.001,5.0491981,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EgpsA2_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmtnA_enzyme_backward_efficiency,0.32049357891082764,511.6565,0.001,0.5116565,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tack_efficiency,0.32049357891082764,0.0,0.001,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
EserA_enzyme_forward_efficiency,0.32049357891082764,45289.5582,0.001,45.2895582,0.32049382192126075,0.32049327326433286,5.486569278900788e-07,6.057212188593162e-09,0.0008559561938099454
Ezwf_enzyme_forward_efficiency,0.32049357891082764,197996.7564,0.001,197.9967564,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,3.975193944094537e-10,0.00024558230141972137
Epta_enzyme_forward_efficiency,0.32049357891082764,191420.5047,0.001,191.42050469999998,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Efmt_enzyme_backward_efficiency,0.32049357891082764,2598.3073,0.001,2.5983073,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpurB2_enzyme_forward_efficiency,0.32049357891082764,9564.3037,0.001,9.5643037,0.32049374091778304,0.32049334967595655,3.9124182649175054e-07,2.045323103299985e-08,0.000610373892390224
EdapB_enzyme_forward_efficiency,0.32049357891082764,94471.7911,0.001,94.4717911,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Elpg_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpanD_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
