Enzyme	Concentration
EileS_enzyme	2.0819876828466213e-05
EilvBH2_enzyme	4.964205717208373e-06
EilvC2_enzyme	0.00012050113645873541
EilvD2_enzyme	1.7598365927508557e-05
EleuA_enzyme	1.2602861675045083e-05
EleuCD_enzyme	8.059771494427886e-06
EleuB_enzyme	5.354561926184335e-05
EilvE3_enzyme	6.528611023410996e-07
EleuS_enzyme	2.203237914458007e-05
Ebkd1_enzyme	1.0563265832835277e-06
Ebkd2_enzyme	0.0
Ebkd3_enzyme	0.0
EdapG_enzyme	3.053793523567454e-06
Easd_enzyme	4.841573029958175e-05
Ehom_enzyme	1.5770895548855115e-05
EdapA_enzyme	6.1015196573769606e-06
EdapB_enzyme	3.485323821099321e-06
EdapH_enzyme	3.666532438549713e-05
EpatA_enzyme	2.360625924877063e-06
EdapL_enzyme	3.1210403685420665e-06
EdapF_enzyme	1.3322252649232133e-06
ElysA_enzyme	7.585743054266518e-06
ElysS_enzyme	2.2680887274232506e-05
EmetA_enzyme	2.2479385063183927e-06
EmetI_enzyme	7.784036254827633e-06
EmetC_enzyme	4.593465962029955e-06
EmetE_enzyme	7.87522882933489e-05
EmetK_enzyme	9.263161807120697e-06
EmetS_enzyme	9.879431068818322e-06
Efmt_enzyme	4.8206488805255496e-06
Edef_enzyme	2.2315293377618093e-07
EspeD_enzyme	8.759414809422924e-06
EspeE_enzyme	8.759414809422924e-06
EmtnN2_enzyme	8.759414809489385e-06
EmtnK_enzyme	8.759414809387374e-06
EmtnA_enzyme	8.759414809489385e-06
EmtnB_enzyme	8.759414809489385e-06
EmtnW_enzyme	8.759414809489385e-06
EmtnX_enzyme	8.759414809387374e-06
EmtnD_enzyme	8.759414809387374e-06
EmtnE_enzyme	8.759414809489385e-06
EspeA_enzyme	6.925869336390097e-06
EspeB_enzyme	5.211646623741848e-06
EaroA_enzyme	0.00014255201352672358
EaroB_enzyme	1.1654588217838735e-05
EaroC_enzyme	1.2991869005701973e-06
EaroD_enzyme	1.7769199850709967e-06
EaroK_enzyme	1.2800370757869617e-06
EaroE_enzyme	2.4278909974810693e-05
EaroF_enzyme	2.876246291829643e-05
EaroH_enzyme	6.1968782715752815e-06
EpheA_enzyme	3.368123188039751e-06
EhisC2_enzyme	1.0447336518407124e-05
EpheS_enzyme	1.2412132530031927e-05
EproB_enzyme	6.002488768244808e-07
EproA_enzyme	4.241865516046478e-06
EproI_enzyme	1.4314218349234047e-07
EproS_enzyme	6.428015414935712e-06
EserA_enzyme	2.027105363435805e-05
EserC_enzyme	4.505901273943747e-06
EserB_enzyme	1.6724735577173104e-05
EserS_enzyme	6.6219438421087206e-06
EthrB_enzyme	2.547646887915552e-06
EthrC_enzyme	4.8033275474139335e-05
EthrS_enzyme	7.1866846157888044e-06
EtrpEG_enzyme	5.85475557197616e-07
EtrpD_enzyme	1.2006639420456064e-07
EtrpF_enzyme	7.707637695359246e-07
EtrpC_enzyme	9.917249412433798e-08
EtrpA_enzyme	1.0370085349921648e-07
EtrpB_enzyme	3.190296529993667e-07
EtrpS_enzyme	6.901269730172648e-07
EtyrA_enzyme	1.0822341838108536e-06
EhisC3_enzyme	1.5457117409572663e-05
EtyrS_enzyme	1.2485365981136254e-05
EilvE2_enzyme	3.212234088228939e-07
EvalS_enzyme	8.74429093061641e-06
Eald_enzyme	0.0
EargI_enzyme	0.0
ErocD_enzyme	0.0
ErocA_enzyme	0.0
Eure_enzyme	3.1875297111757452e-06
EansA_enzyme	0.0
EansB_enzyme	0.0
EglsA_enzyme	0.0
ErocG_enzyme	0.0
EgcvT_enzyme	4.026833585716042e-05
EhutH_enzyme	0.0
EhutU_enzyme	0.0
EhutI_enzyme	0.0
EhutG_enzyme	0.0
EputB_enzyme	0.0
EputC_enzyme	0.0
Esda_enzyme	0.0
Etdh_enzyme	0.0
Ekbl_enzyme	0.0
Eapt_enzyme	9.159492888150672e-06
EhprT1_enzyme	0.0
EhprT2_enzyme	0.0
Expt_enzyme	0.0
EadeC_enzyme	0.0
EguaD_enzyme	0.0
EyfkN1_enzyme	0.0
EyfkN2_enzyme	0.0
EyfkN3_enzyme	0.0
EyfkN4_enzyme	0.0
EyfkN5_enzyme	0.0
Epuc_enzyme	0.0
Epuc2_enzyme	0.0
Edgk_enzyme	0.0
Edck1_enzyme	0.0
EdeoD1_enzyme	0.0
EdeoD2_enzyme	0.0
EpupG1_enzyme	0.0
EpupG2_enzyme	0.0
EpupG3_enzyme	0.0
EpupG4_enzyme	0.0
Edrm1_enzyme	0.0
Edrm2_enzyme	0.0
Edra_enzyme	0.0
Eupp_enzyme	0.0
Edck2_enzyme	0.0
Eudk1_enzyme	0.0
Eudk2_enzyme	0.0
Etdk1_enzyme	0.0
Etdk2_enzyme	0.0
Epdp1_enzyme	0.0
Epdp2_enzyme	0.0
Epdp3_enzyme	0.0
