Reaction	Flux
Eo17	0.00010295177602420857
Ea15	0.00043854782514208326
Ea17	0.0002433405615117657
Ebcfa	0.001337036052262449
EacpA	1.991615968432417e-05
EacpS	1.991615968432417e-05
EplsX	0.0006585599462890625
EplsY	0.0006585599462890625
EplsC	0.0006585599462890625
EcdsA	0.0004908934564208984
EpssA	0.0003582311950683594
Epsd	0.0003582311950683594
EpgsA	0.00013266226135253906
EpX	0.00013266226135253906
EclsA	2.9720812988281246e-06
Elpg	1.4122188110351561e-05
Edg0	0.00016766648986816406
EdagK	0.0
EugtP1	0.00016766648986816406
EugtP2	0.00011276429870605469
EugtP3	4.2150156860351566e-05
Eatpm	0.0
R_maintenance_atp	9.0
